I0, V0, P0, I20, V20, P20, I40, V40, P40, I60, V60, P60, I80, V80, P80
1.4601,4.8828,7.1293,1.4601,0.0019592,0.0028606,1.4601,-33.745,-49.271,1.4601,-85.45,-124.76,1.4601,-148.87,-217.37
1.4653,4.8787,7.1486,1.4653,-0.615,-0.90115,1.4653,-34.362,-50.35,1.4653,-86.067,-126.11,1.4653,-149.49,-219.04
1.4705,4.8743,7.1675,1.4705,-1.232,-1.8116,1.4705,-34.979,-51.436,1.4705,-86.683,-127.47,1.4705,-150.11,-220.73
1.4757,4.8696,7.1859,1.4757,-1.8489,-2.7284,1.4757,-35.596,-52.528,1.4757,-87.3,-128.83,1.4757,-150.72,-222.42
1.4809,4.8644,7.2035,1.4809,-2.4659,-3.6516,1.4809,-36.213,-53.627,1.4809,-87.917,-130.19,1.4809,-151.34,-224.12
1.4861,4.8587,7.2203,1.4861,-3.0829,-4.5813,1.4861,-36.83,-54.732,1.4861,-88.534,-131.57,1.4861,-151.96,-225.82
1.4913,4.8522,7.2359,1.4913,-3.6998,-5.5174,1.4913,-37.447,-55.843,1.4913,-89.151,-132.95,1.4913,-152.58,-227.53
1.4964,4.8447,7.2498,1.4964,-4.3168,-6.4599,1.4964,-38.064,-56.961,1.4964,-89.768,-134.33,1.4964,-153.19,-229.24
1.5016,4.8355,7.2612,1.5016,-4.9338,-7.4087,1.5016,-38.681,-58.085,1.5016,-90.385,-135.73,1.5016,-153.81,-230.97
1.5068,4.8235,7.2682,1.5068,-5.5507,-8.364,1.5068,-39.298,-59.216,1.5068,-91.002,-137.13,1.5068,-154.43,-232.7
1.512,4.8053,7.2657,1.512,-6.1677,-9.3258,1.512,-39.915,-60.353,1.512,-91.619,-138.53,1.512,-155.04,-234.43
1.5172,4.7621,7.2253,1.5172,-6.7846,-10.294,1.5172,-40.532,-61.497,1.5172,-92.236,-139.94,1.5172,-155.66,-236.17
1.5224,4.3187,6.575,1.5224,-7.4016,-11.268,1.5224,-41.149,-62.646,1.5224,-92.853,-141.36,1.5224,-156.28,-237.92
1.5276,3.7018,5.6549,1.5276,-8.0186,-12.249,1.5276,-41.766,-63.803,1.5276,-93.47,-142.79,1.5276,-156.89,-239.68
1.5328,3.0848,4.7285,1.5328,-8.6355,-13.237,1.5328,-42.383,-64.965,1.5328,-94.087,-144.22,1.5328,-157.51,-241.44
1.538,2.4679,3.7956,1.538,-9.2525,-14.23,1.538,-43,-66.135,1.538,-94.704,-145.66,1.538,-158.13,-243.2
1.5432,1.8509,2.8563,1.5432,-9.8695,-15.231,1.5432,-43.617,-67.31,1.5432,-95.321,-147.1,1.5432,-158.75,-244.98
1.5484,1.2339,1.9106,1.5484,-10.486,-16.237,1.5484,-44.234,-68.492,1.5484,-95.938,-148.55,1.5484,-159.36,-246.76
1.5536,0.61696,0.95852,1.5536,-11.103,-17.25,1.5536,-44.851,-69.68,1.5536,-96.555,-150.01,1.5536,-159.98,-248.54
1.5588,0,0,1.5588,-11.72,-18.27,1.5588,-45.468,-70.875,1.5588,-97.172,-151.47,1.5588,-160.6,-250.34
