I0, V0, P0, I20, V20, P20, I40, V40, P40, I60, V60, P60, I80, V80, P80
0.62872,5.1908,3.2636,0.62872,5.1875,3.2614,0.62872,5.1747,3.2534,0.62872,5.1178,3.2176,0.62872,-50.16,-31.536
0.63391,5.1892,3.2895,0.63391,5.1858,3.2874,0.63391,5.1729,3.2792,0.63391,5.1141,3.2419,0.63391,-50.777,-32.188
0.63911,5.1876,3.3154,0.63911,5.1842,3.3133,0.63911,5.1712,3.305,0.63911,5.1102,3.266,0.63911,-51.394,-32.846
0.6443,5.186,3.3414,0.6443,5.1826,3.3392,0.6443,5.1695,3.3307,0.6443,5.1062,3.2899,0.6443,-52.011,-33.511
0.6495,5.1844,3.3673,0.6495,5.1809,3.365,0.6495,5.1677,3.3564,0.6495,5.1018,3.3136,0.6495,-52.628,-34.182
0.6547,5.1828,3.3931,0.6547,5.1793,3.3909,0.6547,5.166,3.3822,0.6547,5.0971,3.3371,0.6547,-53.245,-34.859
0.65989,5.1812,3.419,0.65989,5.1777,3.4167,0.65989,5.1642,3.4078,0.65989,5.092,3.3602,0.65989,-53.861,-35.543
0.66509,5.1796,3.4449,0.66509,5.176,3.4425,0.66509,5.1625,3.4335,0.66509,5.0864,3.3829,0.66509,-54.478,-36.233
0.67028,5.178,3.4707,0.67028,5.1744,3.4683,0.67028,5.1607,3.4592,0.67028,5.08,3.4051,0.67028,-55.095,-36.93
0.67548,5.1763,3.4965,0.67548,5.1728,3.4941,0.67548,5.159,3.4848,0.67548,5.0727,3.4265,0.67548,-55.712,-37.633
0.68068,5.1747,3.5223,0.68068,5.1711,3.5199,0.68068,5.1572,3.5104,0.68068,5.0638,3.4468,0.68068,-56.329,-38.342
0.68587,5.1731,3.5481,0.68587,5.1695,3.5456,0.68587,5.1554,3.536,0.68587,5.0522,3.4652,0.68587,-56.946,-39.058
0.69107,5.1715,3.5739,0.69107,5.1679,3.5713,0.69107,5.1537,3.5615,0.69107,5.0352,3.4797,0.69107,-57.563,-39.78
0.69626,5.1699,3.5996,0.69626,5.1662,3.597,0.69626,5.1519,3.5871,0.69626,4.9991,3.4807,0.69626,-58.18,-40.509
0.70146,5.1683,3.6253,0.70146,5.1646,3.6227,0.70146,5.1501,3.6126,0.70146,4.6272,3.2458,0.70146,-58.797,-41.244
0.70666,5.1666,3.651,0.70666,5.1629,3.6484,0.70666,5.1483,3.6381,0.70666,4.0103,2.8339,0.70666,-59.414,-41.985
0.71185,5.165,3.6767,0.71185,5.1613,3.6741,0.71185,5.1465,3.6636,0.71185,3.3933,2.4155,0.71185,-60.031,-42.733
0.71705,5.1634,3.7024,0.71705,5.1596,3.6997,0.71705,5.1448,3.689,0.71705,2.7763,1.9908,0.71705,-60.648,-43.488
0.72224,5.1618,3.7281,0.72224,5.158,3.7253,0.72224,5.143,3.7145,0.72224,2.1594,1.5596,0.72224,-61.265,-44.248
0.72744,5.1602,3.7537,0.72744,5.1563,3.7509,0.72744,5.1412,3.7399,0.72744,1.5424,1.122,0.72744,-61.882,-45.015
0.73264,5.1585,3.7793,0.73264,5.1547,3.7765,0.73264,5.1394,3.7653,0.73264,0.92545,0.67802,0.73264,-62.499,-45.789
0.73783,5.1569,3.8049,0.73783,5.153,3.8021,0.73783,5.1375,3.7906,0.73783,0.30848,0.22761,0.73783,-63.116,-46.569
0.74303,5.1553,3.8305,0.74303,5.1514,3.8276,0.74303,5.1357,3.816,0.74303,-0.30848,-0.22921,0.74303,-63.733,-47.355
0.74822,5.1536,3.8561,0.74822,5.1497,3.8531,0.74822,5.1339,3.8413,0.74822,-0.92545,-0.69244,0.74822,-64.35,-48.148
0.75342,5.152,3.8816,0.75342,5.1481,3.8786,0.75342,5.1321,3.8666,0.75342,-1.5424,-1.1621,0.75342,-64.967,-48.947
0.75862,5.1504,3.9072,0.75862,5.1464,3.9041,0.75862,5.1303,3.8919,0.75862,-2.1594,-1.6381,0.75862,-65.584,-49.753
0.76381,5.1487,3.9327,0.76381,5.1447,3.9296,0.76381,5.1284,3.9172,0.76381,-2.7763,-2.1206,0.76381,-66.201,-50.565
0.76901,5.1471,3.9582,0.76901,5.1431,3.9551,0.76901,5.1266,3.9424,0.76901,-3.3933,-2.6095,0.76901,-66.818,-51.383
0.7742,5.1455,3.9836,0.7742,5.1414,3.9805,0.7742,5.1247,3.9676,0.7742,-4.0103,-3.1048,0.7742,-67.435,-52.208
0.7794,5.1438,4.0091,0.7794,5.1397,4.0059,0.7794,5.1229,3.9928,0.7794,-4.6272,-3.6065,0.7794,-68.052,-53.039
0.7846,5.1422,4.0345,0.7846,5.1381,4.0313,0.7846,5.121,4.0179,0.7846,-5.2442,-4.1146,0.7846,-68.669,-53.877
0.78979,5.1406,4.06,0.78979,5.1364,4.0567,0.78979,5.1192,4.0431,0.78979,-5.8612,-4.6291,0.78979,-69.286,-54.721
0.79499,5.1389,4.0854,0.79499,5.1347,4.082,0.79499,5.1173,4.0682,0.79499,-6.4781,-5.15,0.79499,-69.903,-55.572
0.80018,5.1373,4.1108,0.80018,5.133,4.1074,0.80018,5.1154,4.0933,0.80018,-7.0951,-5.6774,0.80018,-70.52,-56.429
0.80538,5.1356,4.1361,0.80538,5.1314,4.1327,0.80538,5.1135,4.1183,0.80538,-7.7121,-6.2111,0.80538,-71.136,-57.292
0.81058,5.134,4.1615,0.81058,5.1297,4.158,0.81058,5.1116,4.1434,0.81058,-8.329,-6.7513,0.81058,-71.753,-58.162
0.81577,5.1323,4.1868,0.81577,5.128,4.1833,0.81577,5.1097,4.1684,0.81577,-8.946,-7.2979,0.81577,-72.37,-59.038
0.82097,5.1307,4.2121,0.82097,5.1263,4.2085,0.82097,5.1078,4.1934,0.82097,-9.5629,-7.8509,0.82097,-72.987,-59.92
0.82616,5.129,4.2374,0.82616,5.1246,4.2338,0.82616,5.1059,4.2183,0.82616,-10.18,-8.4103,0.82616,-73.604,-60.809
0.83136,5.1274,4.2627,0.83136,5.1229,4.259,0.83136,5.104,4.2433,0.83136,-10.797,-8.9761,0.83136,-74.221,-61.705
0.83656,5.1257,4.288,0.83656,5.1212,4.2842,0.83656,5.1021,4.2682,0.83656,-11.414,-9.5483,0.83656,-74.838,-62.606
0.84175,5.1241,4.3132,0.84175,5.1196,4.3094,0.84175,5.1001,4.293,0.84175,-12.031,-10.127,0.84175,-75.455,-63.515
0.84695,5.1224,4.3384,0.84695,5.1179,4.3346,0.84695,5.0982,4.3179,0.84695,-12.648,-10.712,0.84695,-76.072,-64.429
0.85214,5.1208,4.3636,0.85214,5.1162,4.3597,0.85214,5.0962,4.3427,0.85214,-13.265,-11.303,0.85214,-76.689,-65.35
0.85734,5.1191,4.3888,0.85734,5.1145,4.3848,0.85734,5.0942,4.3675,0.85734,-13.882,-11.901,0.85734,-77.306,-66.278
0.86254,5.1174,4.414,0.86254,5.1128,4.4099,0.86254,5.0923,4.3923,0.86254,-14.499,-12.506,0.86254,-77.923,-67.211
0.86773,5.1158,4.4391,0.86773,5.111,4.435,0.86773,5.0903,4.417,0.86773,-15.116,-13.116,0.86773,-78.54,-68.152
0.87293,5.1141,4.4642,0.87293,5.1093,4.4601,0.87293,5.0883,4.4417,0.87293,-15.733,-13.733,0.87293,-79.157,-69.098
0.87812,5.1124,4.4893,0.87812,5.1076,4.4851,0.87812,5.0863,4.4664,0.87812,-16.35,-14.357,0.87812,-79.774,-70.051
0.88332,5.1108,4.5144,0.88332,5.1059,4.5102,0.88332,5.0842,4.491,0.88332,-16.967,-14.987,0.88332,-80.391,-71.011
0.88852,5.1091,4.5395,0.88852,5.1042,4.5352,0.88852,5.0822,4.5156,0.88852,-17.583,-15.623,0.88852,-81.008,-71.977
0.89371,5.1074,4.5646,0.89371,5.1025,4.5602,0.89371,5.0802,4.5402,0.89371,-18.2,-16.266,0.89371,-81.625,-72.949
0.89891,5.1057,4.5896,0.89891,5.1008,4.5851,0.89891,5.0781,4.5647,0.89891,-18.817,-16.915,0.89891,-82.242,-73.928
0.9041,5.1041,4.6146,0.9041,5.099,4.6101,0.9041,5.076,4.5892,0.9041,-19.434,-17.571,0.9041,-82.859,-74.913
0.9093,5.1024,4.6396,0.9093,5.0973,4.635,0.9093,5.0739,4.6137,0.9093,-20.051,-18.233,0.9093,-83.476,-75.905
0.9145,5.1007,4.6646,0.9145,5.0956,4.6599,0.9145,5.0718,4.6382,0.9145,-20.668,-18.901,0.9145,-84.093,-76.902
0.91969,5.099,4.6895,0.91969,5.0938,4.6848,0.91969,5.0697,4.6626,0.91969,-21.285,-19.576,0.91969,-84.71,-77.907
0.92489,5.0973,4.7145,0.92489,5.0921,4.7096,0.92489,5.0676,4.6869,0.92489,-21.902,-20.257,0.92489,-85.327,-78.918
0.93008,5.0956,4.7394,0.93008,5.0904,4.7345,0.93008,5.0654,4.7113,0.93008,-22.519,-20.945,0.93008,-85.944,-79.935
0.93528,5.0939,4.7643,0.93528,5.0886,4.7593,0.93528,5.0632,4.7355,0.93528,-23.136,-21.639,0.93528,-86.561,-80.958
0.94048,5.0923,4.7891,0.94048,5.0869,4.7841,0.94048,5.061,4.7598,0.94048,-23.753,-22.339,0.94048,-87.178,-81.988
0.94567,5.0906,4.814,0.94567,5.0851,4.8089,0.94567,5.0588,4.784,0.94567,-24.37,-23.046,0.94567,-87.795,-83.025
0.95087,5.0889,4.8388,0.95087,5.0834,4.8336,0.95087,5.0566,4.8081,0.95087,-24.987,-23.759,0.95087,-88.411,-84.068
0.95606,5.0872,4.8637,0.95606,5.0816,4.8584,0.95606,5.0543,4.8323,0.95606,-25.604,-24.479,0.95606,-89.028,-85.117
0.96126,5.0855,4.8884,0.96126,5.0799,4.8831,0.96126,5.052,4.8563,0.96126,-26.221,-25.205,0.96126,-89.645,-86.173
0.96646,5.0838,4.9132,0.96646,5.0781,4.9078,0.96646,5.0497,4.8803,0.96646,-26.838,-25.938,0.96646,-90.262,-87.235
0.97165,5.082,4.938,0.97165,5.0763,4.9324,0.97165,5.0474,4.9043,0.97165,-27.455,-26.677,0.97165,-90.879,-88.303
0.97685,5.0803,4.9627,0.97685,5.0746,4.9571,0.97685,5.045,4.9282,0.97685,-28.072,-27.422,0.97685,-91.496,-89.378
0.98204,5.0786,4.9874,0.98204,5.0728,4.9817,0.98204,5.0426,4.9521,0.98204,-28.689,-28.174,0.98204,-92.113,-90.459
0.98724,5.0769,5.0121,0.98724,5.071,5.0063,0.98724,5.0402,4.9759,0.98724,-29.306,-28.932,0.98724,-92.73,-91.547
0.99244,5.0752,5.0368,0.99244,5.0692,5.0309,0.99244,5.0377,4.9996,0.99244,-29.923,-29.696,0.99244,-93.347,-92.641
0.99763,5.0735,5.0615,0.99763,5.0674,5.0554,0.99763,5.0352,5.0233,0.99763,-30.54,-30.467,0.99763,-93.964,-93.742
1.0028,5.0717,5.0861,1.0028,5.0656,5.08,1.0028,5.0327,5.0469,1.0028,-31.157,-31.245,1.0028,-94.581,-94.849
1.008,5.07,5.1107,1.008,5.0639,5.1045,1.008,5.0301,5.0705,1.008,-31.774,-32.029,1.008,-95.198,-95.962
1.0132,5.0683,5.1353,1.0132,5.0621,5.129,1.0132,5.0275,5.0939,1.0132,-32.391,-32.819,1.0132,-95.815,-97.082
1.0184,5.0666,5.1599,1.0184,5.0602,5.1534,1.0184,5.0248,5.1173,1.0184,-33.008,-33.615,1.0184,-96.432,-98.208
1.0236,5.0648,5.1844,1.0236,5.0584,5.1779,1.0236,5.022,5.1406,1.0236,-33.625,-34.418,1.0236,-97.049,-99.34
1.0288,5.0631,5.2089,1.0288,5.0566,5.2023,1.0288,5.0192,5.1638,1.0288,-34.242,-35.228,1.0288,-97.666,-100.48
1.034,5.0613,5.2334,1.034,5.0548,5.2267,1.034,5.0163,5.1869,1.034,-34.858,-36.044,1.034,-98.283,-101.62
1.0392,5.0596,5.2579,1.0392,5.053,5.2511,1.0392,5.0134,5.2099,1.0392,-35.475,-36.866,1.0392,-98.9,-102.78
1.0444,5.0578,5.2824,1.0444,5.0511,5.2754,1.0444,5.0103,5.2328,1.0444,-36.092,-37.695,1.0444,-99.517,-103.93
1.0496,5.0561,5.3068,1.0496,5.0493,5.2997,1.0496,5.0072,5.2555,1.0496,-36.709,-38.53,1.0496,-100.13,-105.1
1.0548,5.0543,5.3312,1.0548,5.0475,5.324,1.0548,5.0039,5.2781,1.0548,-37.326,-39.371,1.0548,-100.75,-106.27
1.06,5.0526,5.3556,1.06,5.0456,5.3483,1.06,5.0006,5.3005,1.06,-37.943,-40.219,1.06,-101.37,-107.45
1.0652,5.0508,5.38,1.0652,5.0438,5.3725,1.0652,4.9971,5.3228,1.0652,-38.56,-41.074,1.0652,-101.98,-108.63
1.0704,5.049,5.4044,1.0704,5.0419,5.3967,1.0704,4.9934,5.3448,1.0704,-39.177,-41.934,1.0704,-102.6,-109.82
1.0756,5.0473,5.4287,1.0756,5.04,5.4209,1.0756,4.9895,5.3666,1.0756,-39.794,-42.802,1.0756,-103.22,-111.02
1.0808,5.0455,5.453,1.0808,5.0382,5.4451,1.0808,4.9854,5.3881,1.0808,-40.411,-43.675,1.0808,-103.84,-112.22
1.086,5.0437,5.4773,1.086,5.0363,5.4692,1.086,4.9811,5.4093,1.086,-41.028,-44.555,1.086,-104.45,-113.43
1.0912,5.0419,5.5016,1.0912,5.0344,5.4933,1.0912,4.9764,5.43,1.0912,-41.645,-45.441,1.0912,-105.07,-114.65
1.0964,5.0401,5.5258,1.0964,5.0325,5.5174,1.0964,4.9713,5.4503,1.0964,-42.262,-46.334,1.0964,-105.69,-115.87
1.1016,5.0384,5.55,1.1016,5.0306,5.5415,1.1016,4.9657,5.4699,1.1016,-42.879,-47.233,1.1016,-106.3,-117.1
1.1067,5.0366,5.5742,1.1067,5.0287,5.5655,1.1067,4.9593,5.4887,1.1067,-43.496,-48.139,1.1067,-106.92,-118.33
1.1119,5.0348,5.5984,1.1119,5.0268,5.5895,1.1119,4.9519,5.5063,1.1119,-44.113,-49.051,1.1119,-107.54,-119.58
1.1171,5.033,5.6225,1.1171,5.0249,5.6135,1.1171,4.943,5.5221,1.1171,-44.73,-49.97,1.1171,-108.15,-120.82
1.1223,5.0311,5.6466,1.1223,5.0229,5.6374,1.1223,4.9315,5.5348,1.1223,-45.347,-50.894,1.1223,-108.77,-122.08
1.1275,5.0293,5.6707,1.1275,5.021,5.6613,1.1275,4.9145,5.5412,1.1275,-45.964,-51.826,1.1275,-109.39,-123.34
1.1327,5.0275,5.6948,1.1327,5.019,5.6852,1.1327,4.8783,5.5258,1.1327,-46.581,-52.763,1.1327,-110.01,-124.61
1.1379,5.0257,5.7188,1.1379,5.0171,5.709,1.1379,4.5063,5.1278,1.1379,-47.198,-53.707,1.1379,-110.62,-125.88
1.1431,5.0239,5.7429,1.1431,5.0151,5.7329,1.1431,3.8893,4.446,1.1431,-47.815,-54.658,1.1431,-111.24,-127.16
1.1483,5.022,5.7669,1.1483,5.0131,5.7566,1.1483,3.2724,3.7577,1.1483,-48.432,-55.615,1.1483,-111.86,-128.45
1.1535,5.0202,5.7908,1.1535,5.0111,5.7804,1.1535,2.6554,3.0631,1.1535,-49.049,-56.578,1.1535,-112.47,-129.74
1.1587,5.0183,5.8148,1.1587,5.0091,5.8041,1.1587,2.0384,2.362,1.1587,-49.666,-57.548,1.1587,-113.09,-131.04
1.1639,5.0165,5.8387,1.1639,5.0071,5.8278,1.1639,1.4215,1.6545,1.1639,-50.283,-58.524,1.1639,-113.71,-132.34
1.1691,5.0146,5.8626,1.1691,5.0051,5.8514,1.1691,0.80452,0.94057,1.1691,-50.9,-59.507,1.1691,-114.32,-133.66
1.1743,5.0127,5.8864,1.1743,5.003,5.8751,1.1743,0.18756,0.22025,1.1743,-51.517,-60.496,1.1743,-114.94,-134.97
1.1795,5.0109,5.9103,1.1795,5.001,5.8986,1.1795,-0.42941,-0.50648,1.1795,-52.133,-61.491,1.1795,-115.56,-136.3
1.1847,5.009,5.9341,1.1847,4.9989,5.9222,1.1847,-1.0464,-1.2396,1.1847,-52.75,-62.493,1.1847,-116.17,-137.63
1.1899,5.0071,5.9579,1.1899,4.9969,5.9457,1.1899,-1.6633,-1.9792,1.1899,-53.367,-63.501,1.1899,-116.79,-138.97
1.1951,5.0052,5.9816,1.1951,4.9948,5.9691,1.1951,-2.2803,-2.7251,1.1951,-53.984,-64.516,1.1951,-117.41,-140.31
1.2003,5.0033,6.0054,1.2003,4.9927,5.9926,1.2003,-2.8973,-3.4775,1.2003,-54.601,-65.537,1.2003,-118.03,-141.66
1.2055,5.0014,6.0291,1.2055,4.9905,6.0159,1.2055,-3.5142,-4.2363,1.2055,-55.218,-66.564,1.2055,-118.64,-143.02
1.2107,4.9995,6.0527,1.2107,4.9884,6.0393,1.2107,-4.1312,-5.0015,1.2107,-55.835,-67.598,1.2107,-119.26,-144.38
1.2159,4.9976,6.0764,1.2159,4.9862,6.0626,1.2159,-4.7482,-5.7731,1.2159,-56.452,-68.638,1.2159,-119.88,-145.75
1.2211,4.9956,6.1,1.2211,4.9841,6.0858,1.2211,-5.3651,-6.5511,1.2211,-57.069,-69.685,1.2211,-120.49,-147.13
1.2263,4.9937,6.1235,1.2263,4.9819,6.109,1.2263,-5.9821,-7.3356,1.2263,-57.686,-70.738,1.2263,-121.11,-148.51
1.2315,4.9917,6.1471,1.2315,4.9796,6.1322,1.2315,-6.599,-8.1264,1.2315,-58.303,-71.797,1.2315,-121.73,-149.9
1.2366,4.9898,6.1706,1.2366,4.9774,6.1553,1.2366,-7.216,-8.9237,1.2366,-58.92,-72.863,1.2366,-122.34,-151.3
